Subj	Date	SoundStim	arousal1.RT	arousal1.RESP	valence1.RT	valence1.RESP
10904	20120103	 353.wav	 256	 3	 227	 3	
10904	20120103	 624.wav	 289	 2	 377	 7	
10904	20120103	 360.wav	 131	 1	 183	 1	
10904	20120103	 276.wav	 350	 2	 252	 9	
10904	20120103	 377.wav	 547	 6	 257	 5	
10904	20120103	 365.wav	 1574	 3	 1127	 4	
10904	20120103	 261.wav	 1868	 3	 1483	 8	
10904	20120103	 252.wav	 1671	 5	 253	 8	
10904	20120103	 296.wav	 3236	 7	 635	 6	
10904	20120103	 714.wav	 1898	 1	 1999	 9	
10904	20120103	 724.wav	 621	 3	 976	 5	
10904	20120103	 716.wav	 607	 1	 321	 1	
10904	20120103	 701.wav	 1285	 4	 203	 5	
10904	20120103	 502.wav	 790	 4	 304	 7	
10904	20120103	 110.wav	 997	 2	 296	 1	
10904	20120103	 717.wav	 295	 2	 319	 2	
10904	20120103	 601.wav	 1612	 5	 541	 6	
10904	20120103	 700.wav	 1712	 5	 1956	 3	
10904	20120103	 132.wav	 1732	 7	 240	 7	
10904	20120103	 352.wav	 427	 3	 342	 2	
10904	20120103	 113.wav	 1108	 4	 298	 7	
10904	20120103	 708.wav	 3105	 8	 1219	 8	
10904	20120103	 375.wav	 331	 9	 248	 5	
10904	20120103	 363.wav	 3531	 6	 340	 4	
10904	20120103	 367.wav	 1468	 2	 172	 1	
10904	20120103	 260.wav	 438	 3	 287	 6	
10904	20120103	 376.wav	 806	 8	 457	 5	
10904	20120103	 602.wav	 2631	 4	 502	 8	
10904	20120103	 116.wav	 309	 3	 260	 8	
10904	20120103	 322.wav	 436	 6	 260	 6	
10904	20120103	 284.wav	 574	 4	 434	 9	
10908	20111216	 244.wav	 3449	 6	 4901	 5	
10908	20111216	 601.wav	 5003	 4	 3271	 3	
10908	20111216	 226.wav	 2012	 3	 1741	 2	
10908	20111216	 360.wav	 4471	 4	 3377	 2	
10908	20111216	 716.wav	 1018	 2	 404	 1	
10908	20111216	 624.wav	 480	 3	 1928	 6	
10908	20111216	 276.wav	 2508	 3	 1638	 9	
10908	20111216	 709.wav	 2254	 4	 1844	 6	
10908	20111216	 698.wav	 1764	 5	 231	 4	
10908	20111216	 802.wav	 2426	 5	 280	 3	
10908	20111216	 815.wav	 267	 1	 275	 1	
10908	20111216	 262.wav	 939	 8	 1664	 5	
10908	20111216	 289.wav	 2689	 3	 308	 7	
10908	20111216	 170.wav	 1574	 8	 359	 2	
10908	20111216	 106.wav	 2854	 2	 1900	 8	
10908	20111216	 712.wav	 2338	 4	 3261	 7	
10908	20111216	 115.wav	 898	 1	 553	 9	
10908	20111216	 311.wav	 950	 2	 660	 1	
10908	20111216	 sarahordaz.wav	 930	 9	 303	 1	
10908	20111216	 717.wav	 734	 1	 387	 1	
10908	20111216	 370.wav	 1193	 3	 482	 1	
10908	20111216	 720.wav	 2306	 5	 478	 5	
10908	20111216	 365.wav	 1314	 3	 959	 2	
10908	20111216	 224.wav	 2749	 5	 326	 4	
10908	20111216	 255.wav	 3181	 3	 461	 9	
